Accession,Description,"Abundances (Grouped): F1, 126","Abundances (Grouped): F1, 127N","Abundances (Grouped): F1, 127C","Abundances (Grouped): F1, 128N","Abundances (Grouped): F1, 128C","Abundances (Grouped): F1, 129N","Abundances (Grouped): F1, 129C","Abundances (Grouped): F1, 130N","Abundances (Grouped): F1, 130C","Abundances (Grouped): F1, 131N","Abundances (Grouped): F1, 131C"
P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,166008620.7,130045963.2,201912871.9,184117044.7,173140165.8,117209284.3,119938937.9,157979058.9,121959923.2,139913211.2,225234310.6
Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2",91373597.89,64423666.21,102331260.8,97838319.65,88229781.84,61255354.15,70523966.95,78665146.98,64277240.5,69393780.64,101122428.9
P09104,Gamma-enolase OS=Homo sapiens OX=9606 GN=ENO2 PE=1 SV=3,106990074.7,82959250.5,134876855,114634091.2,110652574.8,79958050.12,83246652.33,88498435.42,78758153.7,87440833.35,130767304.8
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 OS=Homo sapiens OX=9606 GN=ATP1A1 PE=1 SV=1,116177777.4,71965779.88,115121208.8,121076243.8,101085735.8,61839130.98,76773042.18,72633142.41,71222097.76,67362325.7,111481326.2
P07196,Neurofilament light polypeptide OS=Homo sapiens OX=9606 GN=NEFL PE=1 SV=3,80788720.41,79816357.18,96474200.62,105355680.6,106401744.5,71213133.26,73069409.23,110892207.8,96335597.95,57971976.89,177251076.1
P50993,Sodium/potassium-transporting ATPase subunit alpha-2 OS=Homo sapiens OX=9606 GN=ATP1A2 PE=1 SV=1,45753456.86,29558346.26,48212716.61,38313325.06,40289682.74,25960013.31,31701516.47,32764425.38,29560247,30103746.61,41896303.25
P14136,Glial fibrillary acidic protein OS=Homo sapiens OX=9606 GN=GFAP PE=1 SV=1,97725185.14,80119616.44,71606690.19,126449887.6,107400277.4,88252511.46,27471680.24,201449556.6,142009538.4,60066075.09,167556302.6
P07197,Neurofilament medium polypeptide OS=Homo sapiens OX=9606 GN=NEFM PE=1 SV=3,79860299.07,78600092.3,95572677.57,101179891.6,103793867,68236284.7,73709992.01,102741959,94340083.06,59906530.92,181959598.6
Q13509,Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2,28533159.98,22852836.77,35348291.25,31369457.95,29947378.78,20574923.97,23421030.57,23477099.51,20660762,25396218.07,32296373.04
P68871,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2,309869146.7,255566413.5,542126863.1,619625006.5,346217995.6,113573913.6,269792384.2,265846473,214348956.1,282327515.5,572214680.4
P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",72719047.08,49957213.57,79037120.91,80650533.54,66210571.2,43165822.97,52196473.26,50860042.68,49325367.3,52985281.32,77983776.86
P12277,Creatine kinase B-type OS=Homo sapiens OX=9606 GN=CKB PE=1 SV=1,85459551.04,72201743.63,102353248.9,96253252.81,94692899.59,65320090.88,68463195.1,90564222.52,55801460.75,76585225.96,128593333.4
P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,118453146.8,86860772.53,135757020.7,128050226.9,116117188.4,75236226.34,88921935.8,87197566.47,87805034.65,92019976.47,131757937.6
P00558,Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3,117088327.9,82255079.88,127749946.8,113852309.8,108494796,78156415.62,88203939.56,94491816.58,77952929.48,91585302.05,143206039.6
P68366,Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1,44219347.22,32093641.71,50859919.12,45033403.03,42875884.77,30295515.91,31145275.27,39850418.73,27883786.47,32215810.98,51560870.54
P62736,"Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1",3790235.446,3587455.527,5404070.521,5574533.789,4624404.847,3480197.128,3405146.188,3656818.721,3512959.835,4018397.733,4763253.136
P61764,Syntaxin-binding protein 1 OS=Homo sapiens OX=9606 GN=STXBP1 PE=1 SV=1,123146608.2,80975492.75,129464601.2,134357448.1,105063233.9,71828828.79,85866514.93,82497549.62,59793617.55,77318812.92,129647966.6
P09972,Fructose-bisphosphate aldolase C OS=Homo sapiens OX=9606 GN=ALDOC PE=1 SV=2,80989114.93,52692391.98,83078580.25,70288293.33,71436551.26,45859919.67,54351130.93,53423617.91,50144273.36,54550495.74,64589503.31
P25705,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",90154601.5,58110735.5,95112609.45,90319893.38,76416856.77,50587464.46,59383890.58,57528022.44,54948701.81,61917821.55,95606120.24
P46821,Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2,47454324.57,33907142.72,54011591.35,49129317.06,45712000.97,29695240.74,42799156.53,36549262.98,35311360.13,35284270.71,52956303.01
P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,78939117.9,59318318.37,90422240.07,102157526.5,79669713.32,58267479.25,58930192.71,67633489.76,56084725.81,62933160.22,104874392.4
P40926,"Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3",217065606.2,139650953,256444059.6,215907777.7,188063156.9,127399226,155493327.4,144073833.6,132904213.8,175164572.6,213821333.1
P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,84818205.3,54371488.47,91952039.97,84726384.71,74714467.57,47170354.18,59046665.93,51944310.98,48658597.6,57252208.8,78966557.05
P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,80410541.11,64476668.81,101485146.2,97299674.01,86278452.18,55633666.7,67451296.08,70111074.2,64918590.98,63749411.93,105745256.1
P02768,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,47391597.92,49247916.91,64135947.71,133229682,63300121.84,31407716.63,27908417.82,46612306.9,36872265.46,60439708.81,41239037.47
P17600,Synapsin-1 OS=Homo sapiens OX=9606 GN=SYN1 PE=1 SV=3,59512887.53,43928849.32,70716734.82,68439006.93,58063867.66,41460275.35,46244541.83,41497414.01,38049662.86,48554906.25,63258238.83
P11137,Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=1 SV=4,50623915.78,31431189.71,64652085.12,26543603.08,43756035.91,30541140.25,42866410.59,32019887.65,30872562.45,34639387.62,34940865.12
P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",98349374.95,69576519.17,107032954.2,130038960.6,93668824.8,68920799.39,67027207.73,74927821.94,64063030.49,77913249.87,122576765.7
P60174,Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3,75801996.56,52689046.4,91932503.63,71166283.49,69833849.59,46450272.57,56619992.56,53019404.78,49124184.4,59684127.66,76536600.57
P46459,Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=3,59819808.91,42306701.77,70072078.94,53958706.23,57342188.7,37925523.04,42718325.97,46114820.52,38162968.46,47639442.36,64084017.07
Q00610,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,36323549.7,26715882.54,44803256.76,46173071.07,36927534.55,24859940.45,26991335.34,28899505.22,24047991.8,26717707.26,39269200.25
Q01484,Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=4,25628303.96,16688460.61,29524106.51,24261555.08,22859685.19,15996346.51,18436333.96,18579270.85,15823508.22,18401243.29,25133563.03
P09543,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Homo sapiens OX=9606 GN=CNP PE=1 SV=2",56779608.4,96653665.02,78898745.72,124408969.8,122541886,56300867.72,76267777.57,134293232.5,105135900.1,47242644.3,226236215.9
P80723,Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2,72089278.04,41167748.96,86190990.98,68410943.98,57496618.42,34991732.19,48578473.22,35461626.58,37478081.85,46126249.41,64054178.45
P62258,14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1,55722522.95,49212285.37,71305396.65,79708080.6,66711642.4,46065727.5,46579601.5,62093804.27,51245715.09,50599063.89,68592981.62
P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,15726358.63,13383817.91,20039592.3,19099945.75,18003870.33,12639094.96,14815566.84,15302462.9,13249661.9,14042902.34,21344647.69
Q05193,Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=2,44581027.26,30952711.95,50106047.36,44954720.64,41121450.64,29744783.46,30919103.12,34984923.83,27505442.19,34358291.12,48756804.45
Q99798,"Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2",68883736.05,42953168.66,72370719.88,51351567.68,58839784.86,33664899.59,46802149,38078755.17,48395466.5,48680496.46,57301498.03
P13591,Neural cell adhesion molecule 1 OS=Homo sapiens OX=9606 GN=NCAM1 PE=1 SV=3,45360559.58,32577458.34,53475561.41,47329650.05,43898920.15,29964458.96,31800364.96,32266258.6,29502921.32,31287031.45,51037658.66
P40925,"Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4",67550355.6,44309013.59,76447256.24,55364238.55,59730861.7,39363799.86,49724109.36,47563398.69,41945129.72,47797714.08,66707671.11
P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",27840502.57,18056127.95,28949390.15,22885743.55,24113848.51,14722763.08,19043620.56,18901544.87,18867415.06,18301963.29,26101577.64
P02686,Myelin basic protein OS=Homo sapiens OX=9606 GN=MBP PE=1 SV=3,75600627.45,120040714.3,86609825.42,169412169.7,157555279.9,49107274.89,110043464.5,149450584.6,203903276.6,46426269.61,347916704.5
P0DMV9,Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1,41241783.98,34569711.02,47422917.93,64040519.02,45592416.31,30054367.18,33859511.32,37825033.32,31267002.91,35992823.89,65303736.2
P09936,Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Homo sapiens OX=9606 GN=UCHL1 PE=1 SV=2,112249723.9,73869165.66,116926663.2,97941260.49,99674606.68,69651379.1,80862803.12,77958024.48,67781582.94,76053636.46,117783554.9
Q562R1,Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,81935.67041,65737.25,120703.1465,71329.81982,87132.71533,54113.85449,76156.48096,68644.00439,58018.32373,81467.79883,96341.47168
P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,13006117.63,10769961.45,13088902.82,44024752.83,14136145.6,12441117.92,6909510.435,19946783.66,9730891.18,9815989.044,14748656.07
P00367,"Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD1 PE=1 SV=2",53293382.57,34140987.1,51381677.41,40836134.83,44291458.88,28282924.84,31669102.43,42075718.55,33775043.06,32882332.26,43082569.58
Q14195,Dihydropyrimidinase-related protein 3 OS=Homo sapiens OX=9606 GN=DPYSL3 PE=1 SV=1,8652111.156,6312422.715,8723011.243,9479458.944,8373381.026,6016581.928,6134334.002,8422984.879,6598393.658,6360081.408,11695606.69
Q9NY65,Tubulin alpha-8 chain OS=Homo sapiens OX=9606 GN=TUBA8 PE=1 SV=1,1956795.305,1321114.541,2207432.82,1805152.989,1832793.736,1454649.794,1256730.675,1181572.999,1301890.446,1399020.388,1927234.653
P31150,Rab GDP dissociation inhibitor alpha OS=Homo sapiens OX=9606 GN=GDI1 PE=1 SV=2,44693346.84,35442090.14,51139038.39,53353729.51,47705711.75,34019641.91,34529449.16,40990301.05,34929099.34,37269885.82,57965500.43
P63104,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1,38055142.75,30567959.96,48129610.7,41346952.09,39635113.65,26970254.77,30719035.66,32952682.48,26896872.69,34082627.74,42895886.14
Q15149,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,17498139.73,12805756.41,16794060.06,16089624.03,16825718.3,13094091.37,10445559.29,19383636.19,13543716.15,11869963.81,21361392.91
P21796,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2,19962109.59,15385017.8,25744090.35,19224413.92,19869173.37,13095481.76,14093120.58,12677308.37,12039335.21,14049108.19,19719610.65
P37840,Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=1 SV=1,70856817.36,38209852.62,81448652.12,49669496.89,52406407.84,30675928.61,46361607.78,33112181.15,38517700.2,53633316.02,44985339.08
Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,13331122.43,12087335.51,17787539.5,15804753.33,16051897.61,10924227.74,12878994.45,13156086.05,9633503.937,13371136.87,18079280.28
P09471,Guanine nucleotide-binding protein G(o) subunit alpha OS=Homo sapiens OX=9606 GN=GNAO1 PE=1 SV=4,61525271.91,42728538.13,66881229.52,66621822.6,57566510.51,43461265.31,44931286.75,45425867.67,39549841.4,43845753.24,62561882.14
P61266,Syntaxin-1B OS=Homo sapiens OX=9606 GN=STX1B PE=1 SV=1,47344102.71,31566443.78,50951583.36,54986185.65,43031825.25,30972539.69,33600193.95,29147403.38,28400003.66,33447764.77,47718027.56
O76070,Gamma-synuclein OS=Homo sapiens OX=9606 GN=SNCG PE=1 SV=2,26633446.87,13881172.68,24581138.1,19335819.69,19185991.87,13715434.27,16236679.45,13694942.84,13351456.56,17636033.57,15877933.61
Q3ZCM7,Tubulin beta-8 chain OS=Homo sapiens OX=9606 GN=TUBB8 PE=1 SV=2,12717.1062,6034.751099,11675.71997,12177.521,10807.52417,8075.622742,10747.67163,12096.31934,5232.51355,9788.912598,20724.4375
Q04917,14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4,23054472.29,18324367.44,28878868.67,25501199.49,25300373.13,19442382.37,17615176.17,21082690.26,17905208.57,20054467.46,26697323.5
Q16352,Alpha-internexin OS=Homo sapiens OX=9606 GN=INA PE=1 SV=2,14084760.75,12409730.89,16399428.98,19485567.81,17080771.04,12534317.46,12713196.45,12992778.81,14352581.55,11303619.03,27627762.03
P61981,14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2,41521055.59,30926444.18,49339638.85,44474566.31,43222546.67,29443532.94,30470904.8,37924472.98,28235928.32,36689303.44,51162772.85
P30044,"Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4",60639025.04,37855998.84,63626129.27,55809837.84,51411875.2,37617710.73,42186562.5,44353674.73,40303975.71,40332923.58,62459903.49
Q12860,Contactin-1 OS=Homo sapiens OX=9606 GN=CNTN1 PE=1 SV=1,23045083.27,18091948.66,27418988.3,26971349.51,24227815.52,15684525.42,20308676.54,19515359.48,17292805.34,19449616.9,29066335.32
Q9UQM7,Calcium/calmodulin-dependent protein kinase type II subunit alpha OS=Homo sapiens OX=9606 GN=CAMK2A PE=1 SV=2,49596820.88,37802639.66,52562477.13,37511235.28,49271307.01,39466787.08,38875834.05,40446615.76,32045993.91,45984063.86,55959627.01
P62937,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2,73676616.11,54212665.82,86374930.93,65485507.42,72295813.74,50356159.09,57308431.38,67782566.84,56893490.54,56293658.86,86443350.06
P54652,Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1,5077895.515,5889582.592,6859704.713,6007769.592,7706864.957,4159801.002,5472384.456,8463659.832,7056244.389,4299862.389,11198148.71
Q16143,Beta-synuclein OS=Homo sapiens OX=9606 GN=SNCB PE=1 SV=1,9398286.773,4253219.69,9721989.455,5981725.855,5924053.783,3590852.784,5208557.778,4136024.423,4449586.335,5425895.572,4513831.814
Q9Y2J2,Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=2,28481714.16,17162205.57,28383421.27,25702306.34,23319048.28,13204626.16,20352450.87,16852356.17,16170786.34,16715689.14,29986311.7
Q9NVA2,Septin-11 OS=Homo sapiens OX=9606 GN=SEPT11 PE=1 SV=3,18511434.46,12438532.15,21390705.7,17823208.51,16782095.09,10912373.4,14282450.92,12773564.88,11333400.55,14227312.99,17701814.1
O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Homo sapiens OX=9606 GN=DDAH1 PE=1 SV=3",37264625.73,27034474.15,42386643.46,37229455.15,35854204.82,23279299.58,29617767.19,32846818.92,28869363.41,28339235.42,43708767.59
Q16181,Septin-7 OS=Homo sapiens OX=9606 GN=SEPT7 PE=1 SV=2,29864424.19,20903465.72,32489965.53,28796443.02,27469585.54,17890756.62,23042776.87,23927202.64,19628454.65,22760511.06,34315646.41
P02042,Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2,6090828.123,5462557.964,9612811.96,12851710.49,7432447.3,2749433.25,6351582.73,5960943.921,4960613.467,5684204.872,12582790.16
P17677,Neuromodulin OS=Homo sapiens OX=9606 GN=GAP43 PE=1 SV=1,32868107.61,16931837.3,34757426.88,25702342.15,23705624.67,15748793.85,21612650.29,14939905.93,14000642.96,19223620.02,22528001.01
Q9BY11,Protein kinase C and casein kinase substrate in neurons protein 1 OS=Homo sapiens OX=9606 GN=PACSIN1 PE=1 SV=1,31447100.23,20092866.56,34518140.09,28129187.79,26893244.06,17615345.22,25644610.9,19529971.63,18153227.9,23438054.84,27574810.68
Q14194,Dihydropyrimidinase-related protein 1 OS=Homo sapiens OX=9606 GN=CRMP1 PE=1 SV=1,18195084.22,12062465.73,22441229.84,16647234.1,16615727.99,10748923.17,13889409.37,11512777.44,10404805.39,13691140.24,15805213.6
P07195,L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2,46281428.04,32882818.17,50020798.2,46187869.26,43980800.2,31005296.52,33293933.14,38901276.95,33121748.45,35189865.25,51342876.24
Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,16792673.15,12172160.66,20342612.98,18133173.76,17365678.84,11655985.12,12638765.21,14944852.52,12105723.8,12717113.98,21623767.78
Q99497,Protein/nucleic acid deglycase DJ-1 OS=Homo sapiens OX=9606 GN=PARK7 PE=1 SV=2,42161688.45,26456401,46691252.06,35710170.72,37081084.64,23685562.41,28435415.42,32955399.86,26589225.02,25442593.4,41424704.59
O94811,Tubulin polymerization-promoting protein OS=Homo sapiens OX=9606 GN=TPPP PE=1 SV=1,16669158.35,14116094.72,21882327.86,21101255.11,18592504.23,12654842.49,16385937.71,18093206.3,12261421.54,14153555.83,26177606.39
P60201,Myelin proteolipid protein OS=Homo sapiens OX=9606 GN=PLP1 PE=1 SV=2,17923653.68,43359895.2,28276434.52,51816702.3,54946786.05,20803668.94,27943891.92,54261618.77,50344209.07,20878291.88,98584071.89
P29966,Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens OX=9606 GN=MARCKS PE=1 SV=4,27196765.11,15858115.45,28266467.41,22098267.76,21366394.7,12900479.02,17490146.86,16503954.12,17638645.65,17523808.2,26944771.33
P78559,Microtubule-associated protein 1A OS=Homo sapiens OX=9606 GN=MAP1A PE=1 SV=6,13793052.68,9632353.225,16255097.67,10273533.01,13261379.28,8715539.439,10417264.3,10349666.05,9387630.28,10351045.97,14526290.12
P19367,Hexokinase-1 OS=Homo sapiens OX=9606 GN=HK1 PE=1 SV=3,22164910.14,14020577.85,23700376.19,23412289.6,19352743.81,13886037.13,14608856.33,14066996.76,13073580.29,12386393.35,23206887.55
A5A3E0,POTE ankyrin domain family member F OS=Homo sapiens OX=9606 GN=POTEF PE=1 SV=2,2318.139404,1728.84729,1614.686646,2259.277832,1836.052124,1244.650391,1066.02832,2708.772705,795.2617798,1056.897339,3856.214844
P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,6464587.075,4744948.612,7347518.175,10537691.05,6370043.918,4156658.308,4363419.453,5326611.176,4645331.918,4575598.397,7412071.541
P38606,V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,18224648.45,12088769.47,20681279.28,21676308.69,16518656.27,11823868.91,12266468.76,13523958.51,10277612.69,12881497.79,19945069.34
Q9P2R7,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLA2 PE=1 SV=3",24960742.64,15457075.98,26467676.29,18111276.34,20452366.16,12626912.24,16270345.8,15500278.73,14678339.82,17368492.67,22494156.59
P27348,14-3-3 protein theta OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1,9540747.436,8652996.093,12934401.86,12112475.96,11656761.66,7841069.396,8655630.567,10758401.62,8437173.764,10023435.87,14642290.21
P23528,Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3,23441104.39,19977475.06,29754016.74,25165616.14,25476229.99,17191323.58,19535898.57,21942831.54,18503755.43,22738321.42,33598241.63
Q92777,Synapsin-2 OS=Homo sapiens OX=9606 GN=SYN2 PE=2 SV=4,26152826.52,20023074.94,32104851.57,27924077.03,25578793.2,18052888.69,20940903.59,19251112.79,16017153.72,21081210.87,26490501.89
P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,9086502.456,6560862.402,10479996.1,9729116.955,9212974.886,6033426.535,6568741.897,7569526.263,6734463.999,6731017.256,10616523.54
P69905,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2,66498616.04,58960304.36,114332476.7,157247945.1,84175956.19,25951220.31,63442307.89,61014574.79,51818379.59,67816502.46,134553854.3
Q06830,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,33260677.43,26965041.03,40406904.72,40111968.8,37328474.98,26134607.89,24692153.31,36018815.45,30282585.49,28419863.99,43721887.24
P09417,Dihydropteridine reductase OS=Homo sapiens OX=9606 GN=QDPR PE=1 SV=2,23316665.05,23176398.52,28712480.73,29600065.88,29667886.23,17651152.27,20414147.3,30627478.48,24171392.92,16156961.39,55971734.21
Q9H115,Beta-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPB PE=1 SV=2,18367328.15,14060467.8,23470760.91,20469165.93,19228003.98,12909849.33,14588565.52,15080692.27,12391116.51,15704940.2,22307256
P20020,Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens OX=9606 GN=ATP2B1 PE=1 SV=3,19737153.52,14323433.62,23850129.88,20131211.98,19535426.38,14064166.18,14804932.51,15968423.1,13103711.12,15276201.25,20060492.94
Q02952,A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,6150194.866,4053701.312,7123372.657,5969556.525,5831514.834,4041316.589,4999096.219,4383318.539,4130256.261,4017982.474,8005578.255
Q99719,Septin-5 OS=Homo sapiens OX=9606 GN=SEPT5 PE=1 SV=1,21703408.77,13814937.72,24828967.57,20185540.66,18433842.69,11264976.84,16145314.44,12218868.86,11597046.61,15519044.6,17943067.85
P05091,"Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2",14515396.17,8274924.698,14254223.79,8592829.074,11187721.46,6230901.024,8225532.452,8923611.459,8851933.936,8423815.679,11310955.84
P31946,14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3,12740334.7,12837324.11,18008386.34,18746015.19,16819629.18,12105159.03,12259777.58,16423325.54,11546832.85,16938300.15,20933577.04
P07339,Cathepsin D OS=Homo sapiens OX=9606 GN=CTSD PE=1 SV=1,34597385.9,23921663.7,36496976.76,34538738.09,31150465.76,21982096.02,23960040.11,28222217.69,20007790.36,21678746.67,39893238.49
P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3",24809159.22,15694466.81,28204780.82,19864310.1,21412996.33,12247203.55,16196390.72,14521279.18,15530769.75,18418110.61,21029334.06
