Accession,Description,"Abundances (Grouped): F1, 126","Abundances (Grouped): F1, 127N","Abundances (Grouped): F1, 127C","Abundances (Grouped): F1, 128N","Abundances (Grouped): F1, 128C","Abundances (Grouped): F1, 129N","Abundances (Grouped): F1, 129C","Abundances (Grouped): F1, 130N","Abundances (Grouped): F1, 130C","Abundances (Grouped): F1, 131N","Abundances (Grouped): F1, 131C"
P68871,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2,276386671.4,132253527.3,144906002.5,284731630.1,683386620.8,302752869.5,280326488.5,209048307.2,124077440.7,153291673.8,466610309.2
P09972,Fructose-bisphosphate aldolase C OS=Homo sapiens OX=9606 GN=ALDOC PE=1 SV=2,84349655.03,71439034.79,64252965.32,74060067.46,69758567.06,74313938.45,50693723.18,65149306.8,46620568.6,57749149.75,85407851.1
P68366,Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1,49490846.83,37590595.84,39044431.74,43019168.74,40389551.73,43207513.97,36872568.74,46669832.28,31737399.52,40335194.76,44337403.58
P02768,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,30833708.57,67015751,41947113.66,60688607.89,110002165,66520591.33,54315718.57,96240414.27,63276055.98,46115219.87,96260327.03
P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,45764120.98,35757990.79,41408040.97,38491983.39,43898715.18,42458221.92,35935551.38,38556451.87,30223810.74,33674654.98,63416665.79
P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,85155914.81,73939765.42,71140240.98,75856015.28,78347492.01,77558823.33,55569167.56,68868362.65,48967719.9,63869479.64,87469283.65
P46821,Microtubule-associated protein 1B OS=Homo sapiens OX=9606 GN=MAP1B PE=1 SV=2,57622652.74,49180106.26,49076732.04,48874634,64762878.34,54404170.45,42360147.32,43028473.16,38547199.39,41182558.96,63109522.94
P61764,Syntaxin-binding protein 1 OS=Homo sapiens OX=9606 GN=STXBP1 PE=1 SV=1,105364328.8,81182386.85,87567654.45,91473823,81324984.59,96256055.25,83626705.52,95658709.37,67002767.52,87710186.73,119870647.8
P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,97316404.35,76355454.87,75910044.96,81186033.66,85406004.68,85236530.16,65155728.12,74379886.29,55425344.86,72564410.28,87826327.1
P25705,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",88433468.49,60962734.7,57915339.78,63878449.82,53521371.62,68184435.96,48117041.69,64994187.36,42594445.21,65220000.27,90312928.93
P11137,Microtubule-associated protein 2 OS=Homo sapiens OX=9606 GN=MAP2 PE=1 SV=4,42925562.94,38511788.46,51247112.29,42425799.36,40393218.09,44682618.64,36608779.22,31831116.95,36029874.2,42234095.36,72914741.89
P17600,Synapsin-1 OS=Homo sapiens OX=9606 GN=SYN1 PE=1 SV=3,71516720.48,62484606.23,61201357.39,56755186.76,47053235.46,64536272.4,44195470.12,68598315.92,38623652.8,61754086.04,76682204.52
P40926,"Malate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=MDH2 PE=1 SV=3",197840109.7,177307715.2,166941977.1,150905715,134749624.1,179675895,139482517,145303569.9,126429600.4,165328058.7,235791256.9
P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",144604594.3,92079662.23,90928314.97,94786936.41,84042900.84,112018095.9,77638732.1,103425257.7,67394760.2,106330231.5,137942985.3
P46459,Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=3,73142178.78,56405667.89,55725753.71,61523667.26,56576020.42,61214598.17,44370499.73,62015434.84,38571151.72,54487091.03,66808965.73
Q00610,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,44086379.48,35662376.42,33759045.27,36416603.72,32876982.22,38890452.73,29992917.62,36772429.57,26146986.4,33816913.26,44308630.69
P60174,Triosephosphate isomerase OS=Homo sapiens OX=9606 GN=TPI1 PE=1 SV=3,94438116.06,85259808.51,86488267.57,84912420.39,89062233.11,88013010.33,69881830.35,83120139.21,61397636.8,75618024.29,106563159.5
P09543,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Homo sapiens OX=9606 GN=CNP PE=1 SV=2",74605334.36,110744845,62608092.55,110664158,328037835.6,113472076.8,99567468.63,65956814.39,115018380.7,76302931.21,76905153.18
P80723,Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2,89258050.49,74511116.41,76819628.69,77927987.85,76393738.56,85354388.68,58119013.04,80830645.86,56967950.35,77454047.61,113418118.9
P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,67264725.58,44406439.06,53813133.44,51128101.06,58804712.69,58455788.25,49340313.59,48620641.02,40773795.99,48262563.31,89069688.55
Q01484,Ankyrin-2 OS=Homo sapiens OX=9606 GN=ANK2 PE=1 SV=4,24357372.83,20214079.97,20996553.19,23314141.08,18403499.79,22505971.19,16216248.34,21764503.75,14470049.95,19021195.91,25115031.1
Q99798,"Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2",74067102.37,62768655.49,58540195.53,62367130.78,54828841.04,64831385.5,43018580.92,61655490.78,41742420.68,58835422.61,88793277.83
Q562R1,Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,8217.585693,6935.669434,8948.810791,11538.99194,9291.391357,10707.80542,7712.431396,10685.45361,3449.090576,9118.081299,12895.15674
P62258,14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1,78528076.04,59107514.02,57679905.39,65205194.08,68842657.41,67887170.48,56927146.94,65204946.2,51890475.68,68152185.73,80909554.78
P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",33191971.45,28364303.76,28039849,29648884.19,26365599.22,29119746.21,19742331.8,26498233.01,17948506.41,26126611.07,40371323.7
P02686,Myelin basic protein OS=Homo sapiens OX=9606 GN=MBP PE=1 SV=3,93749802.27,118377582.9,97330598.08,114143263.5,795663314.4,162847415.9,210415435.6,31421087.96,206154686.5,82427274.77,96565519.22
P13591,Neural cell adhesion molecule 1 OS=Homo sapiens OX=9606 GN=NCAM1 PE=1 SV=3,47284120.93,42832344.31,42788155.21,46090580.56,41588830.7,44442257.27,35923036.24,41964592.96,31618218.86,38870809.04,48589740.46
Q15149,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,24735859.68,19397170.88,19755920.45,23652795.95,23872725.72,22040606.65,15741150.38,24618541.33,15188889.72,16665001.71,20978354.22
Q05193,Dynamin-1 OS=Homo sapiens OX=9606 GN=DNM1 PE=1 SV=2,37411675.66,31887813.81,31808795.73,34359453.35,30215191.57,35354539.07,28075471.7,37893688.85,24278187.18,31471241.37,39858337.79
P40925,"Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4",64690425.24,52130606.82,53817795.67,61982618.01,58522474.36,57109596.24,43122951.27,54090834.56,36422355.46,43516542.13,66200119.16
P0DMV9,Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1,48463259.26,38485925.6,45391948.88,41994097.07,38391228.47,43853743.45,38404498.43,36931444.13,29672376.39,33683950.86,60976978.9
P31150,Rab GDP dissociation inhibitor alpha OS=Homo sapiens OX=9606 GN=GDI1 PE=1 SV=2,57792436.01,44911020.42,45200694.92,45289137.44,60797190.72,54341137.44,44730748.92,46321217.21,36461808.35,47795459.36,58124958.48
P09936,Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Homo sapiens OX=9606 GN=UCHL1 PE=1 SV=2,111040752.7,98275980.26,106742297.7,102100362.5,100195130.8,101527699,73877110.38,94177896.76,71299980.97,84032056.15,111798256.8
Q16352,Alpha-internexin OS=Homo sapiens OX=9606 GN=INA PE=1 SV=2,31611689.7,22009724.07,17935701.64,21742656.23,38282091,23623073.32,18770578.38,19799074.58,17553120.01,17567609.9,22200333.19
P63104,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1,41219194.65,35921777.21,38273427.97,35596539.45,40790695.91,40795417.92,31186403.03,40750758.4,25842245.25,34618766.85,46358178.15
P00367,"Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD1 PE=1 SV=2",53642946.87,41180175.73,50950270.35,50845317.51,38829246.36,49514045.01,38651432.49,47570383.51,32733111.07,46177378.64,57519026.66
Q9NY65,Tubulin alpha-8 chain OS=Homo sapiens OX=9606 GN=TUBA8 PE=1 SV=1,2368213.546,2083870.495,1826561.385,1785693.964,2067235.156,1948768.037,1414368.673,1937525.915,1378487.096,1817225.762,2695791.42
Q3ZCM7,Tubulin beta-8 chain OS=Homo sapiens OX=9606 GN=TUBB8 PE=1 SV=2,3894.4729,2434.037354,3459.335938,3124.953369,3112.858887,3753.276123,3072.391113,3076.234863,2079.710449,2453.908447,6181.570801
Q14195,Dihydropyrimidinase-related protein 3 OS=Homo sapiens OX=9606 GN=DPYSL3 PE=1 SV=1,9010341.444,8578039.632,10487338.43,10294543.22,10321812.83,9420953.109,7403782.269,9179602.212,6829451.975,7196550.003,9153097.04
P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,13404688.76,9889072.254,11561689.86,11061666.5,9145791.201,12550704.11,7326294.168,15323549.89,5868349.444,8030085.137,8813919.832
Q12860,Contactin-1 OS=Homo sapiens OX=9606 GN=CNTN1 PE=1 SV=1,26115437.17,27090027.54,25502838.2,26151383.8,28758885.35,27515422.67,24209392.24,24448026.16,18501881.53,24436870.81,30483647.62
P54652,Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1,6403571.29,6923570.657,6623712.847,8375696.613,16692853,7798840.057,7724070.572,5747988.947,7394517.884,5111142.458,5804368.359
Q04917,14-3-3 protein eta OS=Homo sapiens OX=9606 GN=YWHAH PE=1 SV=4,37792109.63,25660915.13,26007314.26,25176468.85,27878026.25,30370151.7,22154196.46,27820815.69,20031605.67,28759153.46,35730690.55
P61981,14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2,44890438.08,33795963.13,35548382.24,34542714.04,35335935.28,40127591.62,31917193.01,39341243.22,27192618.7,35109672.38,50169988.33
P61266,Syntaxin-1B OS=Homo sapiens OX=9606 GN=STX1B PE=1 SV=1,56443505.69,38790753.23,35414432.8,42827285.54,35507340.1,44869877.92,32223070.4,40164263.73,29456452.22,40768316.54,55520824.6
P21796,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2,15194198.65,20967018.32,14667944.71,19811600.83,12903965.88,18627671.78,13200770.37,15580535.68,14234443.27,14641256.59,23957064
Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,13687445.14,13143965.73,14399584.3,14217400.32,13486682.82,14013836.6,14797954.21,16145262.09,10959595.24,13311578.01,17003828.55
Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,16127515.06,14754070.7,14124419.74,15940196.38,18648841.9,15741415.46,12107142.65,13913058.01,10945886.02,12962841.19,17656015.05
Q9Y2J2,Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=2,26108874.29,20569445.26,21146929.67,23857301.44,24912063.65,22764444.63,15861766.68,20885986.24,15253820.71,19033476.83,28014314.61
Q9UQM7,Calcium/calmodulin-dependent protein kinase type II subunit alpha OS=Homo sapiens OX=9606 GN=CAMK2A PE=1 SV=2,53512903.94,28847258.76,50518627.57,51912892.29,43668332.13,49907131.14,43197609.07,57175007.08,35424472.43,49570661.47,44034673.74
P09471,Guanine nucleotide-binding protein G(o) subunit alpha OS=Homo sapiens OX=9606 GN=GNAO1 PE=1 SV=4,63165979.31,49234560.53,50349891.65,52097745.19,50563978.13,58336345.6,45954442.35,48426077.29,39931652.14,54034560.44,63702638.81
P78559,Microtubule-associated protein 1A OS=Homo sapiens OX=9606 GN=MAP1A PE=1 SV=6,18016481.33,15182715.28,15890752.25,16762683.01,19311561.66,15994216.17,12940415.33,13530420.91,12230669.27,14301624.57,18938181.55
Q16181,Septin-7 OS=Homo sapiens OX=9606 GN=SEPT7 PE=1 SV=2,30301103.33,25681834.18,28953550.99,30366837.58,32732037.27,31411963.3,26100782.45,31088807.13,23148789.68,29892093.8,39011443.19
P62937,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2,69821211.52,57802952.57,61540150.7,70208071.86,66290249.46,63440573.15,46323207.81,58057601.39,44268156.22,52992011.53,70081436.86
P30044,"Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4",60787640.2,43902659.92,53641703.67,55054952.13,46190015.65,52341944.41,36457064.99,49793557.4,33389022.46,44862048.57,68244435.36
Q9BY11,Protein kinase C and casein kinase substrate in neurons protein 1 OS=Homo sapiens OX=9606 GN=PACSIN1 PE=1 SV=1,29342469.43,23510255.23,27629692.05,25648717.75,24515328.76,27953869.94,23540633.49,27462735.08,18593186.92,24615647.71,35508357.15
P35580,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,9914179.062,8850498.555,9910896.976,10239806.24,10435837.33,10078142.42,8223586.301,10385248.5,7062127.971,8649529.228,12214994.3
P37840,Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=1 SV=1,55194053.62,44438292.2,65158960.99,50049729.84,43057242.09,57749317.47,44833667.11,44714643.6,38331605.16,52690145.63,64081015.45
P60201,Myelin proteolipid protein OS=Homo sapiens OX=9606 GN=PLP1 PE=1 SV=2,19145225.69,29390094.42,21978895.99,31521717.74,152550372.1,44357589.93,53570408.53,16747412.83,45630509.86,23922050.19,25250763.26
O76070,Gamma-synuclein OS=Homo sapiens OX=9606 GN=SNCG PE=1 SV=2,22780956.18,17726146.98,22344344.59,20643551.14,21926211.22,22400128.11,16397184.75,17068428.45,15617347.07,18868744.02,26214216.2
Q9NVA2,Septin-11 OS=Homo sapiens OX=9606 GN=SEPT11 PE=1 SV=3,22424405.81,20202871.41,21991344.42,20930623.2,19658510.61,23604199.99,18964501.05,23178686.59,15962319.67,22041344.15,30795100.1
O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Homo sapiens OX=9606 GN=DDAH1 PE=1 SV=3",39598675.09,32224714.99,36431033.86,33735139.23,34723698.27,36060534.31,27909665.32,32881182.51,23987374.81,32172094.73,39571763.24
Q14194,Dihydropyrimidinase-related protein 1 OS=Homo sapiens OX=9606 GN=CRMP1 PE=1 SV=1,13825738.48,13455653.77,14867476.84,13649969.76,12694167.43,14864215.36,12427149.36,14948504.37,10245813.54,13607935.74,17936454.34
Q92777,Synapsin-2 OS=Homo sapiens OX=9606 GN=SYN2 PE=2 SV=4,25592437.3,25616740.49,30133198.33,22743650.69,18650289.38,24628409.91,17706285.74,30764770.66,15580867.49,25464369.74,30693528.88
P19367,Hexokinase-1 OS=Homo sapiens OX=9606 GN=HK1 PE=1 SV=3,26093282.15,19811827.67,17216325.79,20409426.21,16100310.48,20232287.29,14289761.98,17905427.27,11772798.34,17176833.39,23389671.3
P05091,"Aldehyde dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH2 PE=1 SV=2",14469491.22,12974390.72,12357172.96,12729204.62,11375747.07,13266164.17,10744080.01,11840102.9,9438797.432,11424582.15,15686633.14
P07195,L-lactate dehydrogenase B chain OS=Homo sapiens OX=9606 GN=LDHB PE=1 SV=2,55177646.88,38144972.82,41696532.2,47889655.61,42748266.99,46088609.13,35780835.74,41213558.99,31334924.64,38966790.74,52085916.1
Q99497,Protein/nucleic acid deglycase DJ-1 OS=Homo sapiens OX=9606 GN=PARK7 PE=1 SV=2,39276800.89,28967360.62,33394225,37276742.28,31927320.64,32393469.88,24738607.48,32302090.83,22720243.46,27882141.6,39337739.07
P20020,Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens OX=9606 GN=ATP2B1 PE=1 SV=3,24919113.74,19249686.26,22165366.01,23515230.92,19906989.75,23444798.16,18120432.5,22452105.55,16536773.58,22516380.27,28734229.25
O94811,Tubulin polymerization-promoting protein OS=Homo sapiens OX=9606 GN=TPPP PE=1 SV=1,16033191.22,13893674.31,18458804.52,15751438.05,21041574.46,17788835.61,18259394.02,14223098.72,14325256.8,12793740.09,21681639.41
P17677,Neuromodulin OS=Homo sapiens OX=9606 GN=GAP43 PE=1 SV=1,34861556.14,31234991.51,31871219.5,28231538.09,32165456.49,33859366.64,26010556.86,33831076.03,23302033.85,32201104.39,46966535.46
P27348,14-3-3 protein theta OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1,9350414.303,8733186.378,8416496.018,8142280.489,11426779.78,9649617.084,8994942.23,8818213.284,7322279.501,8141615.865,11561628.11
Q02952,A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,10447445.15,7348331.191,7584630.916,9044188.154,9905488.995,8658068.86,5956540.853,7344529.946,5868374.759,6551929.582,7895722.032
P35579,Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4,6214169.379,5164929.648,6680471.327,6353190.788,6554640.629,6303442.42,4984683.332,5899005.799,4304421.033,5352425.271,7456281.773
P02042,Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2,5743762.203,2877392.773,3079756.702,5664988.972,15806534.8,6367687.081,6354929.009,3910915.402,2900509.199,3816858.328,9437510.193
Q16143,Beta-synuclein OS=Homo sapiens OX=9606 GN=SNCB PE=1 SV=1,6585275.578,4658390.845,7924788.526,7873987.643,3971675.466,6817418.408,5418094.63,4578291.274,4662825.705,6381476.149,7169750.824
Q9P2R7,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLA2 PE=1 SV=3",18901981.93,18202233.45,17142917,19509627.19,13956572.92,18437599.13,13671943.31,18573747.49,11308070.49,15602980.21,25195490.37
P29966,Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens OX=9606 GN=MARCKS PE=1 SV=4,20661183.49,18419272.8,24284857.2,20904880.91,19805805.86,21875439.88,14554796.16,20106903.72,14186501.97,16750644.29,27337294.96
Q99719,Septin-5 OS=Homo sapiens OX=9606 GN=SEPT5 PE=1 SV=1,17263481.77,15063051.04,17003922.59,15842764.95,15064921.42,17779719.3,14394264.68,18692731.87,12463270.68,17673305.58,24985503.62
P31946,14-3-3 protein beta/alpha OS=Homo sapiens OX=9606 GN=YWHAB PE=1 SV=3,14474465.68,13811178.36,13628913.69,11428033.03,14196393.88,14149012.97,13562353.07,15427437.98,10921393.11,13563215.73,18721393.73
Q13554,Calcium/calmodulin-dependent protein kinase type II subunit beta OS=Homo sapiens OX=9606 GN=CAMK2B PE=1 SV=3,10171634.51,5494208.072,9052447.538,10487454.9,7118424.877,8835505.961,6923513.278,9223453.153,5714547.993,7957981.538,7943677.281
Q13555,Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Homo sapiens OX=9606 GN=CAMK2G PE=1 SV=4,5888185.531,2955632.634,4413621.417,6039498.06,3297031.517,4687901.903,3957701.635,5488247.307,3265364.046,4210224.111,3904348.994
Q99962,Endophilin-A1 OS=Homo sapiens OX=9606 GN=SH3GL2 PE=1 SV=1,44090524.89,37581249.99,42827073.24,39763628.76,32460196.41,40844604.93,32063436.67,44884390.21,27368926.78,39199970.98,53783792.02
P23528,Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3,25757757.41,23890760.59,24814533.53,25098774.73,31078648.48,27146015.95,24101021.2,23684805.53,19932379.05,22070313,29693756.14
Q06830,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,41566560.94,30603703.92,31576715.13,37769539.11,42062500.72,36859745.79,28767282.7,32445414.95,25798354.9,28904634.2,34965419.34
Q01814,Plasma membrane calcium-transporting ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2B2 PE=1 SV=2,13691818.89,10353275.56,9681109.158,12467593.46,10630019.69,12757733.94,9956519.819,12103647.85,9028290.616,13105100.76,18454165.84
P38606,V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,14433374.01,10549051.15,10096675.5,10983985.93,11715506.17,12477021.4,9370117.892,11993983.84,7933298.664,11166735.76,13572973.59
Q9H115,Beta-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPB PE=1 SV=2,23360319.98,20423883.57,21438908.72,20730583.26,18960604.83,21497592.23,17096618.95,22509377.39,14273523.85,18625215.85,25869373.9
P12814,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,15363011.58,13475665.75,17282889.61,15309612.89,14975360.35,16657930.04,13338944.39,17871131.66,12014778.36,18617336.27,22460930.83
